amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,935",Please help support Avery during chemo,U.S. Dollar,,of $2k goal,40,"My son Avery was diagnosed with acute myeloid leukemia on April 25th,
  2019 after a 6 day hospital stay. We have currently been in the
  hospital for 15 days and have at least 3 more weeks to go followed by
  a few days at home and more 28 day cycles in the hospital. During this
  time I have been with Avery 23 hours a day and haven’t been working
  while he receives chemo. I hate asking for help but during this
  process I need to lean on my village. Anything will help keep me here
  with Avery while we go through what is probably the hardest time in
  our life.",https://fundrazr.com/51UuZ5
"3,450",Please Help Marccelo!,U.S. Dollar,"Aug 16, 2019",of $30k goal,37,"My name is Guissela, and I'm the mother of a miraculous little boy. 
  As a mother of 2 boys with very different disabilities, there is
  nothing more terrible than seeing your child in pain over and over
  again. Well for me it was my 14-year-old son name Marccelo. After 2 spinal cord surgeries, we thought we missed the bullet
      when we were granted a miracle after a surgery that helped him get
      stronger and able to finally take his first steps with a gate
  trainer . But just like that our happy little hero's
  progress stopped.  When Marccelo started 8th grade, he suddenly began to get weaker and weaker and lost the ability
      to control his neck and lower extremities .  He also lost his spirited smile . I can still hear him asking me, ""Mommy what's going on? Why can’t I move my hands?"" I wish I could have given him a positive answer so he
  could have felt better knowing there was something we could do about
  it. Unfortunately, we got the sad news that he would need yet another
  spinal surgery; only this time it would have to be a spinal fusion and his life would be in
      jeopardy. Marccelo could lose the little strength he has left and
      be put on a ventilator for life. I am still praying
  for the courage to take that risk. Marccelo was born on November 22, 2004, the week of Thanksgiving. I
  was thankful to God for giving me such a beautiful blessing. I was
  beyond happy and felt I was the luckiest mother alive. On the day of
  his routine 9-month checkup, the doctor gave me the first of many bad
  news to come. Marccelo needed to be seen by a specialist due to the
  fact that he was very floppy. I took Marccelo for an MRI where I was
  told that he needed a spinal decompression. At only 13 months Marccelo
  had his first spinal surgery. Doctors told me he would never walk, speak, eat and that he
      would live his life permanently in a wheelchair. At
  that moment my world collapsed. I couldn't understand why this was
  happening to me. My faith was tested and I was angry at God for what
  he was doing to my child. It was the saddest day of my life. I gained strength and decided to give my son the best life I could .  I was on a mission to prove the doctors wrong. So as Marccelo grew up, I never treated him differently, nor did I
  make things easy for him. I wanted him to give it his all so he could
  become independent and succeed in life. At the age of 3, he was able to sit up, use his little hands to
      sign, speak with difficulties, eat on his own and do many things
      regular kids his age were doing. Of course, the
  walking part was a bit difficult. Regardless, Marccelo learned 2 languages, his letters, colors and numbers
      before he went to kindergarten. I was so proud, and
  happy for him. I knew there was something special about Marccelo that
  went beyond the fact he was my son. He always had an incredible way to touch hearts and inspire
  love. He is compassionate toward those suffering and has
  always been a peace maker.  This is why I believed him when he told me
  he had an encounter with God. In 2017, just before Marccelo’s second spinal decompression, he
      shared his story about a guardian angel coming to
  him.  He described his guardian angel and a message God shared with
  him about helping other children get to heaven.  He told me he met my
  grandmother who passed away 28 years before, telling me she had a
  message for me.  She called me by my pet name and said things about me
  and our relationship that Marccelo was not aware of.  I get goose
  bumps whenever I share his story.  After the experience, Marccelo went into his surgery full of faith and optimism
    with an unprecedented recovery in spite of what the doctors had told
    me to expect. That was why we thought we dodged a bullet. Marccelo has always been a kid who enjoys every second of the day, is
  outgoing, and still believes in his dream of becoming a famous video
  game player or cop!  Making sure everyone is happy, he consistently
  finds the best in the worst. He is so loving and supportive to his
  older brother who has autism...and to me, encouraging me when I would sometimes be brought to tears when
      my body would give out while trying to lift his chair into the
  car. My body, never my will, because I know I need to
  continue to be strong for him and his brother. There are no limits to what I would do to see my son smile
  again. The pain of watching him go through this is
  insurmountable.  I would take it all myself if it would lessen it for him. Today we face a bigger challenge. I am trying to ready myself and Marccelo for his third spinal
      cord decompression and fusion surgery. I am praying
  he will not have to be on a ventilator for the rest of his life, but I
  have to be prepared in case the doctors are right. I admit, it is
  overwhelming. Not just because money is a big issue but because time is running out and a lot of changes have to be made to make
      it all happen before his surgery. Following is a
  list of what we desperately need.  Fortunately, I was able to take a
  few things off the list because insurance is covering them.  Insurance
  is not covering the following: A wheelchair with a head array so Marccelo can move around independently,
        having the autonomy to continue to learn and have some fun
        playing games . An accessible mobility van because as he gets older, he is getting heavier. I can’t
        carry him anymore because it is not safe. We need a one level home with a room big enough for his medical bed, lift, and any
        other equipment he might need after surgery, also with an
        accessible bathroom so he can move around. Marccelo is not the only kid in need; we are not the only family in
  need. I'm only a very tiny percentage who are blessed to have come
  across a tremendous network of people who are encouraging me to take
  this step of reaching out to others for help. We a beyond grateful for anything you can give to help us get
      through this. A forever thankful mom, Guissela",https://fundrazr.com/Marccelo1122
"16,670",Please help fund Aimee Kelso's treatment costs,U.S. Dollar,,of $30k goal,126,"For those of you that don't know me or know me well, three
      years and four months ago my life’s journey took a sharp turn.
      With no real warning the ‘C’ word entered my world like a tidal
      wave. Over the next two months I endured test after test and scan
      after scan to determine just what I was dealing with and how to
      treat it. We prayed, we wept, we yelled, we sat quiet, we
      questioned, we doubted, we fought. Against the grain and advice of
      many, I chose non-traditional treatment. This was a life-changing
      decision. My entire lifestyle was to be changed; eating, resting,
      processing. It was a very difficult time for me, making all the
      changes necessary for my health and then having things change due
      to my choice. Changing my diet and learning my new way of eating
      was super tough; saying no to things giving myself more time for
      rest and healing was super tough; navigating work, loss of work,
      relationships and loss of relationships was super tough; but I did it. I am now faced with a not so new challenge...my cancer is
        back. I have spent the last month enduring labs, tests and scans
        to figure out what we are dealing with now. We have consulted
        with doctors from both sides of the treatment world. It has been
        a long, overwhelming process, but we have made a decision. So I
        will be heading to Germany for treatment. My Rick will be with
        me the first two weeks of what will be approximately six weeks
        of intense treatment. This leaves our precious girls here with
        Grandma and Grandpa for that time and a huge support group of
        friends to bridge the gaps! I covet your prayers as I begin this
        treatment. Protection of my girls, wisdom and patience for my
        husband, strength and peace for my mom, travel mercies,
        successful treatment, eradicating the cancer are just a few of
        the prayer requests I would ask of you. Thank you in advance for
        joining me in prayer. It is our most powerful weapon against the darkness. Psalm 46:1-7 God is our refuge and strength, an ever-present help in trouble. 2 Therefore we will not fear, though the earth give way and the mountains fall into the heart of the sea, 3 though its waters roar and foam and the mountains quake with their surging.[c] 4 There is a river whose streams make glad the city of God, the holy place where the Most High dwells. 5 God is within her, she will not fall; God will help her at break of day. 6 Nations are in uproar, kingdoms fall; he lifts his voice, the earth melts. 7 The Lord Almighty is with us; the God of Jacob is our fortress. Much love and blessings to you! aimee",https://fundrazr.com/aimeekelso
"3,343",Mama Rose needs Hyperbaric Therapy.,U.S. Dollar,,of $6k goal,29,"In October 2017, Rose Rios suffered from a stroke leaving her
  immobile and incapable of caring for herself. The results of the
  stroke caused Complex Regional Syndrome, Vascular Dementia, Aphasia
  and have severely shifted her life activities. Rose’s family is unable to fully provide the financial assistance to
  help her receive the care needed to get better, heal and get back the
  fun, vibrant colorful life she lived & felt just a year ago. Rose is surrounded by many friends and family who help take care of
  her around the clock but unfortunately with climbing medical bills
  from physical therapy, doctor’s visits, and the medication needed 2
  times a day- it’s getting more and more difficult. Update on Rose Rios 4.29.19 Rose was hospitalized 2 months ago & has digressed a bit, but is
  still stable. Her everyday routine continues to be a struggle with her
  waking up, using the restroom, eating, taking medicine and traveling
  to appointments. After seeing many specialist, they have concluded that hyperbaric
  oxygen treatments will help with her health and prolong her life. Hyperbaric oxygen therapy involves breathing pure oxygen in a
  pressurized tube. The Hyperbaric chamber is used to treat stroke
  victims with significant results. The price for this is $1,920/mo, including an oxygen mask, plus a
  lift fee to place her in the chamber. The doctors would like to do
  this for 2-3months, to see if it substantially improves her recovery. Any donations, advice or help is truly appreciated to help us as we
  grasp for ways to help alleviate any amount of suffering and obstacles
  for Rose.",https://fundrazr.com/MamaRiosfundrazr.com
"2,066",Please help Cherry get her freedom back,Australian Dollar,,of $19k goal,35,,https://fundrazr.com/c1PmFe
"5,570",Vivre Pleinement avec Philip,Canadian Dollar,,of $25k goal,91,"Bienvenue a notre campagne de financement FundRazr Nous avons besoin de vous afin d’aider Philip à vivre
    pleinement et ce jusqu’a la fin. Vous pouvez aider Philip
      de plusieurs façons: - En apportant une contribution monétaire, peu importe le
    montant, afin de l’aider à rester autonome et ainsi lui donner une
    chance de surmonter la maladie, et de vivre ses rêves ; En partageant cette campagne à vos proches, ainsi que sur vos
      réseaux sociaux; En offrant votre temps et vos talents afin d'aider Philip a
      rendre ses rêves réalité. Veuillez nous écrire afin de
    savoir comment votre talent peut venir en aide; En proposant des idées de financement,
    et d'évènements; En faisant un don financier ou autre de
    la part de votre compagnie en échange de visibilité; _____________________________________________________________________ L'histoire a Philip MISE À JOUR Bonjour tout le monde, Ici Marie-anne, grande soeur a Philip. Je tiens a remercier du fond du coeur tout le monde qui ont
  participé, qui participent, et qui participeront a cette campagne de
  socio-financement. Bravo a vous tous, vous faîtes réellement une
  différence dans nos vies (surtout celle a Philip, mais aussi pour les
  gens qui l'entoure et qui s'inquiète). Près de 5,600$ ont été
  ramassé jusqu'à présent! Philip reprends du poil de la bête depuis les derniers traitement de
  chimiothérapie de cette hiver. Motivé , Philip cherche a réintégrer le
  marché du travail pour la saison estivale, afin de rester actifs et engagé. Un petit changement d'air s'impose, nous pourrons bientôt souhaiter
  la bienvenue a Philip, dans la capitale nationale ! _____________________________________________ Le 22 janvier 2019, Philip Simard-Léveillé, âgé de 21 ans, est
    diagnostiqué d’un cancer de l'hypopharynx de stade 3. Malgré la
    nouvelle, Philip garde la tête haute et les yeux pleins d’espoir; il
    est prêt à se battre. Pour ce type de cancer, les spécialistes
    estiment une durée de vie de 8 mois ainsi qu’un taux de réussite des
    traitements de chimiothérapie de 30%. Pour combattre la maladie,
    Philip a entamé ses traitements de chimiothérapie. Le type de
    traitement qu’il reçoit se fait par intraveineuse et la durée des
    traitements est de 12 heures par séance, toutes les deux semaines.
    Une fois une séance terminée, celui-ci doit immédiatement se
    retrouver en quarantaine dans un endroit aseptisé durant les 7 jours
    suivant le traitement. Suite à l’état difficile dans lequel les effets secondaires du
    traitement le laissaient, Philip a finalement pris la décision
    d’arrêter ses traitements, afin de profiter au maximum du précieux
    temps qu’il lui reste plutôt que de vivre alité et semi-conscient. Ayant perdu son travail dû au temps qu’il devait accorder à ses
    traitements et à son isolation, Philip doit toutefois continuer de
    manger et de payer son loyer et une inquiétude monétaire s’installe.
    Il est crucial pour la santé mentale de Philip de garder son
    indépendance, de rester autonome et d’avoir une vie active le plus
    longtemps possible. Une santé mentale forte est donc extrêmement
    importante afin qu’il puisse garder la tête haute. Positif, fonceur,
    travaillant, combatif et attentionné, Philip a besoin de votre aide
    afin de conserver son autonomie, mais aussi pour garder espoir. Les Fonds Les fonds que nous souhaitons recueillir pour aider Philip
    permettront de couvrir tous les besoins de base pour une période de
    12 mois: Loyer, hydro, nourriture, médicaments, déplacements,
    téléphone et Internet. Afin de conserver son autonomie ainsi qu’une
    vie active le plus longtemps possible, Philip a besoin d’amasser
    25,000$ afin de couvrir tous les frais et dépenses qui seront
    nécessaires au courant de l’année 2019. Une fois les frais de base
    couverts, Philip aura la chance de se concentrer sur sa ‘Bucket
    list’ et de vivre pleinement chaque instant. Vous pouvez aider Philip de plusieurs façons: - En apportant une contribution monétaire, peu importe le
    montant, afin de l’aider à rester autonome et ainsi lui donner une
    chance de surmonter la maladie, et de vivre ses rêves ; En partageant cette campagne à vos proches, ainsi que sur vos
      réseaux sociaux; En offrant votre temps et vos talents afin d'aider Philip a
      rendre ses rêves réalité. Veuillez nous écrire afin de
    savoir comment votre talent peut venir en aide; En proposant des idées de financement,
    et d'évènements; En faisant un don financier ou autre de
    la part de votre compagnie en échange de visibilité; _____________________________________________________________________ Joignez vous a notre équipe de support Merci pour votre support! Vous fetes maintenant partie de
    l'équipe ! S.v.p partagez afin de rendre cette campagne viral et permettre
    a Philip de vivre pleinement",https://fundrazr.com/91SnBd
"1,185",Jessica Russman's Liver Transplant And Stay Cancer Free Fund,U.S. Dollar,"Apr 11, 2020",of $20k goal,25,"Jessica and Greg Russman have approved and allowed me to run
      this campaign. All funds donated to this campaign go directly into
      Jesse and Greg's bank account only they have access to. Jessica Russman and I have been friends since we were kids.
      We are more like family. I can't remember a time when I've called
      upon her and she has not come through for me. Now SHE needs
      assistance, and I want within all my power to be at her aide. This
      one is going to take the Village though. Jesse was diagnosed with stage 3 liver cancer several months
      ago and though a successful ablation the cancer was killed, due to
      other illnesses Jesse’s liver does not regenerate. Unfortunately
      she needs a full transplant before the cancer comes back. She is
      currently on the wait list and unable to work. It takes all the
      energy she can muster to spend quality time carrying for her
      beautiful 2 year old daughter Selena. Jesse’s husband Greg is an
      amazing man and has been her rock throughout all of this while
      maintaining all the financial and household responsibilities. Needless to say the medical bills are piling up and becoming
      insurmountable. The Russman’s need help to get over this mountain
      they are about to climb? Cancer is a wicked disease that gives no
      acknowledgement to age or personal circumstance. A liver
      transplant is Jesse's only hope of survival. Jesse and Greg live 90 miles away from the nearest hospital.
      So they have to stay in a hotel with Selena when Jesse has
      treatments.  When Jesse has her transplant she will be in the
      hospital for a month and then it will take 4 to 6 months of
      recovery at home. They will need some in home care for Selena and
      Jesse so Greg can work. Greg can take a leave from work to care
      for them, but he would have to go unpaid. Any help is appreciated.",https://fundrazr.com/JesseRussman
270,Rachel's Surgery,U.S. Dollar,,of $500 goal,3,"Rachel is needing to have surgery on Thursday the 23rd. She needs to
  travel to Dallas, Texas for this procedure. Any and all assistance is appreciated.",https://fundrazr.com/91VPK2
515,Nakula (Neo) In need of urgent medical help for PTSD!,U.S. Dollar,,of $1.8k goal,9,"Nakula (Neo) celebrated his 22nd Birthday! On April 29th, 2019! He woke up early that morning and I showed him all the
    donations that he had received from all over the world and he just
    could not believe the support he was receiving! Thanks so much, to everyone who has come forward so far to
    make life more wonderful for Nakula. Nakulas Story He has been suffering from severe PTSD for the past few years
    and he has just recently started taking high-quality CBD, and
    medications. He is receiving Hypnotherapy and professional medical
    attention and his condition is improving, yet in order for him to
    continue receiving the care he needs and
    professional psychological counseling on a consistent basis, we will
    need some help financially to cover all his medical expenses! He has started seeing a psychologist once a week in his house
    for PTSD symptoms which are pretty severe, because he could not make
    it into town for weekly visits, a house has been set up for him in
    the countryside where he has a volunteer working and living with him
    full time that is similar to a big brother mentoring situation. He is in desperate need of consistent mental health care and
    engaging in activities with kind-hearted people encouraging him in
    his healing process, step by step progress is being made. At this time it is difficult for him to leave the house so he
    gets isolated, he tends to get paranoid, depressed and fearful, then
    he doesn't want to leave the house. All the costs involved in his care are a bit difficult to
    manage, so we have decided to reach out and ask for help for him,
    and hope that collectively we can pull together and help him out so
    he can get the medical attention he needs to get better and thrive
    in life. How You Can Help If you want to make a donation one time or on an ongoing
    monthly basis of an amount that feels comfortable, it would be
    appreciated so very much at this time! We are aspiring to raise $300 a month on an ongoing basis or a
    total of $1800 to cover his costs for 6 months for his medication
    and in-home professional counseling costs in Costa Rica. The idea is that if everyone contributes a small amount
    monthly that this can be achieved. Monthly and one time donations can be sent on Paypal to yogaofbeauty@gmail.com If you have any questions in regards to setting up a monthly
    contribution please contact us directly at the above email address. There are also options on FundRazr to remain anonymous in
    making your donations. We kindly ask you to consider donating to help Nakula at
          this time and that we stand together as friends, and family
          near and far to help heal his PTSD. If we all give what we can and share this with our various
        friends and networks then Nakula 's healing
        journey will be made so much easier by us all joining together
        to show how much we care! Thank you all for your thoughts, prayers and generous donations...",https://fundrazr.com/71RJb6
"40,721",Support Chris on Her Healing Journey,U.S. Dollar,,of $60k goal,139,"Update: After successful surgery for what doctors
  have now classified as stage 4 colon cancer , Chris
  will be receiving follow-up chemotherapy treatment beginning March 27
  at City of Hope. During the first phase of treatment, a small spot on
  her liver grew to the size of a quarter. It was successfully excised
  in surgery, along with her gallbladder and approximately 13 inches of
  colon. But, due to the extremely aggressive nature of this cancer
  (which actually GREW during radiation), her doctors feel this course
  of follow-up treatment is vital to giving her the best possible chance
  at a full recovery. THANK YOU for your continued support of our dear friend! How you can help: Donate here to Chris's ongoing care while she is
      in treatment and unable to work. Share this page on social media and with others who may be moved to help: fundrazr.com/ChrisStrother Book a family photo shoot with Chris - contact her
    directly or email chris@hootowlstudios.com . Chris's Story Chris has been diagnosed with stage III colon cancer, a huge
    shock to us all. If anyone is a survivor, Chris Strother is the ultimate!  But we
    know that the cancer is aggressive and she must move forward
    rapidly. Chris is preparing to undergo conventional cancer treatment
    while continuing to support her overall health with a variety of
    integrative & complementary therapies. During the coming months, Chris will be unable to work at her
    normal capacity. As a single mom, she is very aware that this means
    she will need help. If you know Chris, you know that accepting this
    kind of help does not come easy for her. But, we have convinced her
    that relieving some of her financial burden will allow her to focus
    all of her energy on healing. Our goal is to raise funds to cover
    one year of medical and living expenses. We are hoping to raise funds to help her with medical co-pays;
    living expenses; integrative nutrition; ongoing expenses for her
    son, Eli; and complementary therapies that are not covered by insurance. Chris is a precious and inspiring friend to many, a true renaissance
  woman with extraordinary gifts to further bring to our world. We are
  inviting her friends, fans, and community to support her during this
  challenging time. We want her to know that we are here for her, as she
  has been for so many of us.",https://fundrazr.com/ChrisStrother
